"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,5,2,72,"N",2,9,1,71,1,4,1,4,150,2
1,1,5,2,16,"Q",1,2,2,70,1,1,1,4,200,1
1,1,6,2,30,"S",1,2,1,71,1,1,1,4,70,1
1,1,6,2,40,"C",3,1,1,71,1,1,2,4,400,1
1,1,6,4,6,"O",1,3,2,70,2,1,1,4,30,2
1,1,0,2,50,"C",2,9,2,69,1,1,2,2,150,1
1,1,1,2,24,"N",1,9,3,69,1,1,2,2,70,2
1,1,1,2,32,"H",1,8,2,69,1,1,2,4,200,1
1,1,1,2,56,"N",3,9,1,69,1,1,1,4,140,1
1,1,1,2,58,"L",2,9,1,70,1,1,2,4,135,2
1,1,1,2,63,"L",2,9,1,70,1,1,1,4,120,2
1,1,1,2,11,"F",3,7,3,70,1,1,2,2,200,2
1,1,1,2,0,"Q",1,9,2,70,2,1,1,4,20,2
1,1,1,3,56,"N",3,9,3,70,1,1,2,2,220,2
1,1,2,2,30,"F",3,9,3,69,1,1,2,2,120,2
1,1,2,2,32,"N",2,7,1,70,1,1,1,4,250,2
1,1,2,2,32,"N",2,9,2,70,1,1,1,2,150,2
1,1,2,2,40,"O",3,9,2,69,1,2,1,2,143,2
1,1,2,2,41,"L",1,9,2,70,1,1,1,4,110,1
1,1,2,2,45,"G",3,5,2,70,1,1,2,4,210,1
1,1,2,2,48,"N",1,9,2,70,1,1,1,4,150,2
1,1,2,2,48,"N",2,9,1,70,1,1,1,4,170,2
1,1,2,2,50,"H",4,8,2,69,1,2,2,4,120,1
1,1,2,2,50,"S",1,7,2,69,1,1,2,4,150,1
1,1,2,2,70,"N",1,9,1,69,1,1,2,4,128,2
1,1,2,2,72,"C",4,9,2,70,1,1,2,2,80,2
1,1,2,2,77,"N",1,9,1,69,1,1,2,4,128,2
1,1,2,2,8,"Q",2,8,2,69,2,1,2,4,40,2
1,1,2,2,9,"O",3,9,2,70,2,2,1,4,20,2
1,1,2,3,58,"S",4,4,1,70,1,1,1,4,150,2
1,1,2,3,68,"H",5,8,1,69,1,4,1,6,180,2
1,1,2,3,9,"Q",3,9,2,70,2,1,1,4,20,2
1,1,2,2,45,"N",4,9,1,69,1,1,1,5,165,2
1,1,2,2,60,"H",2,8,1,70,1,1,1,4,150,2
1,1,3,2,16,"O",2,9,2,70,1,2,1,1,140,2
1,1,3,2,30,"F",2,7,3,69,1,1,2,2,320,2
1,1,3,2,48,"N",5,9,1,69,1,1,1,4,135,2
1,1,3,2,54,"S",2,9,1,69,1,1,2,4,120,2
1,1,3,2,56,"L",1,9,1,69,1,1,2,4,168,1
1,1,3,2,56,"N",2,9,1,70,1,1,1,4,150,2
1,1,3,2,60,"H",5,9,2,70,1,2,1,4,130,1
1,1,3,2,72,"L",2,9,2,70,1,1,2,4,110,1
1,1,3,2,72,"N",2,9,1,69,1,1,2,4,130,2
1,1,3,2,88,"H",5,8,1,69,1,4,1,4,120,1
1,1,3,2,10,"I",4,9,3,69,2,1,2,2,40,2
1,1,3,2,33,"N",1,9,2,69,2,1,2,1,80,2
1,1,3,2,4,"N",1,9,2,70,2,1,2,4,2,2
1,1,3,2,40,"C",3,9,2,70,1,1,1,4,120,2
1,1,3,2,40,"S",1,4,2,70,1,1,2,2,150,1
1,1,3,2,42,"N",2,9,1,70,1,1,1,4,160,1
1,1,3,2,72,"G",2,9,1,69,1,1,2,4,145,1
1,1,3,2,8,"C",2,3,1,70,2,1,2,4,150,2
1,1,3,2,20,"L",2,2,1,69,2,1,2,4,280,2
1,1,4,2,40,"H",3,3,1,70,1,1,1,4,150,1
1,1,5,2,43,"G",1,3,1,70,1,1,2,4,250,1
1,1,5,2,44,"N",4,4,1,70,1,1,1,4,160,2
1,1,5,2,51,"N",1,9,1,70,1,1,1,4,160,2
1,1,5,2,32,"C",3,8,1,69,1,1,2,4,270,1
1,1,5,3,70,"L",1,9,2,69,1,1,2,2,120,2
1,1,5,2,72,"G",2,3,2,70,1,1,2,4,150,1
1,1,6,2,16,"F",3,2,2,69,2,1,1,4,170,2
1,1,0,2,42,"G",1,9,3,68,1,1,2,6,50,1
1,1,1,2,32,"N",3,6,2,69,1,1,1,2,114,2
1,1,1,2,38,"S",1,7,2,69,1,1,2,4,100,1
1,1,1,2,40,"C",1,7,1,69,1,1,2,5,280,1
1,1,1,2,40,"N",3,9,2,69,1,1,2,4,85,2
1,1,1,2,45,"L",1,9,2,69,1,1,1,4,150,1
1,1,1,2,50,"H",4,8,1,69,1,1,1,4,150,1
1,1,1,2,54,"F",4,7,2,69,1,1,1,2,280,1
1,1,1,2,70,"N",2,9,1,68,1,1,1,4,170,2
1,1,1,2,28,"L",1,9,2,68,2,1,2,4,55,2
1,1,1,2,30,"O",4,9,2,69,2,2,2,2,84,2
1,1,1,3,45,"H",2,2,1,69,1,1,2,4,280,1
1,1,1,4,12,"O",4,9,2,69,2,2,1,4,20,2
1,1,1,4,20,"F",1,9,3,69,2,1,1,2,30,2
1,1,2,2,40,"T",1,9,2,69,1,1,2,4,50,1
1,1,2,2,48,"C",3,9,1,69,1,1,2,5,160,2
1,1,2,2,48,"F",1,7,3,69,1,1,2,2,200,2
1,1,2,2,54,"F",2,7,2,68,1,1,2,4,300,2
1,1,2,2,56,"H",5,8,2,69,1,4,1,4,170,1
1,1,2,2,60,"H",4,8,1,69,1,4,1,4,250,2
1,1,2,2,66,"G",2,5,2,68,1,1,2,4,150,1
1,1,2,2,66,"H",4,8,1,69,1,4,1,4,150,2
1,1,2,2,72,"N",3,9,1,69,1,1,1,4,120,2
1,1,2,2,29,"N",4,9,2,69,2,1,1,4,110,2
1,1,2,2,25,"C",3,9,2,69,2,1,2,4,50,2
1,1,2,2,28,"N",1,9,2,69,2,2,2,4,82,2
1,1,3,2,32,"P",5,2,1,68,1,2,2,4,130,2
1,1,3,2,32,"S",1,2,1,69,1,1,2,4,93,2
1,1,3,2,40,"N",2,9,2,68,1,1,2,4,100,2
1,1,3,2,48,"H",4,2,1,68,1,4,2,4,300,2
1,1,3,2,52,"H",4,8,1,69,1,4,1,4,240,2
1,1,3,2,72,"G",1,9,1,68,1,1,1,4,140,2
1,1,3,3,32,"G",1,9,3,69,1,1,2,6,25,1
1,1,3,2,39,"K",1,3,1,68,1,1,2,4,150,2
1,1,3,2,38,"F",2,3,1,68,2,1,1,4,100,2
1,1,3,2,31,"N",2,9,2,69,1,1,2,1,120,2
1,1,3,2,32,"M",4,2,2,68,1,1,2,4,100,1
1,1,3,2,32,"N",2,7,2,69,1,1,1,2,100,2
1,1,3,2,36,"Q",4,3,1,69,1,1,2,4,160,2
1,1,3,2,40,"F",4,3,1,68,1,4,1,4,240,1
1,1,3,2,48,"G",1,9,2,69,1,1,1,4,120,2
1,1,3,2,61,"N",2,9,1,68,1,1,1,1,174,2
1,1,3,2,63,"N",2,9,1,69,1,1,2,4,120,2
1,1,3,2,72,"L",3,9,1,69,1,1,1,4,160,2
1,1,3,2,72,"N",3,9,1,68,1,1,1,4,146,2
1,1,3,2,8,"Q",4,9,2,69,2,1,1,2,27,2
1,1,3,2,10,"O",1,3,2,69,2,2,1,4,24,2
1,1,3,3,40,"E",3,8,1,69,1,1,1,4,235,1
