"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,2,2,71,32,"L",1,2,2,1,1,2,6,100,1
1,1,2,2,71,48,"N",3,8,1,1,1,1,4,180,2
1,1,2,2,70,60,"N",3,9,1,1,1,2,4,175,2
1,1,2,2,71,60,"N",5,9,2,1,1,1,4,190,2
1,1,2,2,71,72,"N",2,9,2,1,1,2,4,160,2
1,1,2,2,71,8,"S",1,5,2,2,1,1,4,22,2
1,1,2,2,71,9,"Q",1,9,2,2,1,2,4,22,2
1,1,2,2,71,16,"F",3,9,3,2,1,2,2,60,2
1,1,2,2,71,25,"O",1,9,3,2,2,1,2,50,2
1,1,2,2,71,35,"N",3,9,1,2,1,2,4,100,2
1,1,2,3,71,32,"N",3,9,2,1,1,2,4,170,2
1,1,2,4,71,6,"O",3,3,2,2,2,1,4,20,2
1,1,2,4,71,36,"G",1,9,3,1,1,2,6,50,1
1,1,3,2,70,60,"L",1,9,2,1,1,2,4,130,2
1,1,3,2,71,32,"O",6,9,2,1,2,1,4,150,2
1,1,3,2,71,36,"P",3,8,2,1,1,2,4,150,1
1,1,3,2,71,45,"N",2,9,2,1,2,1,4,170,2
1,1,3,2,70,51,"N",3,9,1,1,1,2,4,170,2
1,1,3,2,71,52,"H",4,8,1,1,4,1,4,240,2
1,1,3,2,71,3,"S",3,9,2,2,1,2,1,10,2
1,1,3,2,70,9,"Q",2,9,2,2,1,1,4,34,2
1,1,3,2,70,33,"N",2,9,1,1,1,2,4,120,2
1,1,3,2,71,24,"D",3,9,3,2,2,1,2,70,2
1,1,3,2,70,0,"S",1,9,2,2,1,1,4,27,2
1,1,3,4,70,96,"L",1,9,2,1,1,2,4,180,1
1,1,3,2,70,42,"K",1,3,1,1,1,2,4,160,2
1,1,3,2,70,40,"C",4,3,1,1,1,2,4,180,2
1,1,3,2,71,44,"C",3,8,1,1,1,2,4,280,1
1,1,3,2,71,54,"N",2,9,1,1,1,1,4,189,2
1,1,3,2,70,60,"N",1,9,2,1,1,2,4,150,2
1,1,3,2,70,6,"F",2,2,2,2,1,2,4,120,2
1,1,3,2,71,24,"N",1,9,3,1,1,1,2,132,2
1,1,3,2,71,24,"F",1,7,3,1,1,2,2,180,2
1,1,4,2,71,32,"B",3,3,1,1,1,2,4,400,1
1,1,5,2,70,36,"N",1,9,1,1,1,1,4,81,2
1,1,5,2,71,36,"O",4,3,1,1,1,1,4,250,1
1,1,5,2,71,40,"N",2,9,2,1,1,2,4,170,1
1,1,5,2,71,40,"P",3,2,2,1,1,1,4,260,1
1,1,5,2,71,44,"H",2,9,2,1,1,2,4,72,2
1,1,0,2,69,32,"O",6,9,2,1,2,1,2,150,2
1,1,1,2,69,36,"F",2,7,1,1,1,1,4,190,1
1,1,1,2,70,56,"A",2,6,2,1,1,1,4,200,2
1,1,1,2,69,72,"L",1,9,2,1,1,1,2,120,2
1,1,1,2,69,8,"F",3,7,3,2,1,2,2,40,2
1,1,2,2,70,95,"N",5,9,1,1,1,1,4,140,2
1,1,2,2,69,36,"C",4,8,2,2,1,2,4,100,2
1,1,2,2,70,9,"F",2,9,3,1,1,2,2,101,2
1,1,2,2,69,28,"O",2,9,2,1,1,2,2,180,2
1,1,2,2,69,32,"A",2,9,2,1,1,2,2,150,2
1,1,2,2,70,40,"L",1,9,2,1,1,2,4,40,2
1,1,2,2,69,40,"O",2,9,2,1,2,1,4,160,2
1,1,2,2,69,41,"L",1,9,2,1,1,2,4,170,1
1,1,2,2,70,42,"L",2,9,1,1,1,2,4,150,2
1,1,2,2,70,48,"N",1,9,2,1,1,1,4,140,2
1,1,2,2,70,56,"A",4,8,2,1,1,2,4,180,2
1,1,2,2,70,56,"L",2,9,1,1,1,1,1,180,2
1,1,2,2,70,60,"H",4,8,1,1,1,1,6,55,1
1,1,2,2,70,9,"Q",2,9,2,2,1,1,1,27,2
1,1,2,2,69,15,"Q",1,4,2,2,1,1,4,60,2
1,1,2,2,69,24,"N",6,9,1,2,1,1,4,120,2
1,1,2,2,70,24,"F",3,7,3,2,1,2,2,120,2
1,1,2,3,70,60,"H",6,9,2,1,2,1,4,160,1
1,1,2,4,70,49,"G",1,9,1,1,1,1,4,150,1
1,1,2,4,70,16,"F",3,9,3,2,1,1,2,20,2
1,1,2,2,70,15,"O",2,9,2,2,2,1,1,60,2
1,1,3,2,70,32,"C",5,1,1,1,2,1,4,3000,1
1,1,3,2,69,32,"K",2,3,1,1,1,2,5,261,1
1,1,3,2,69,32,"M",1,3,1,1,1,2,4,150,1
1,1,3,2,70,43,"N",3,9,1,1,1,2,4,180,2
1,1,3,2,69,48,"N",1,9,2,1,1,2,4,150,2
1,1,3,2,69,48,"N",3,9,2,1,1,1,1,160,2
1,1,3,2,69,50,"L",2,9,1,1,1,2,4,130,1
1,1,3,2,70,50,"L",2,9,2,1,1,2,1,180,1
1,1,3,2,70,54,"N",3,9,1,1,1,2,4,157,2
1,1,3,2,70,66,"N",3,9,1,1,1,2,4,200,2
1,1,3,4,70,54,"N",1,9,1,1,1,1,4,130,2
1,1,3,2,70,16,"F",4,9,3,2,1,2,2,100,2
1,1,3,2,69,24,"E",3,9,2,1,1,1,4,130,1
1,1,3,2,70,32,"M",3,3,1,1,1,2,4,500,1
1,1,3,2,70,38,"C",1,7,3,1,1,2,6,60,1
1,1,3,2,70,48,"N",2,9,1,1,1,1,4,180,2
1,1,3,2,70,15,"O",5,9,2,2,1,1,1,50,2
1,1,3,2,70,23,"Q",1,9,2,2,1,1,1,70,2
1,1,3,2,70,27,"F",2,7,3,2,1,2,1,30,2
1,1,4,2,70,7,"O",1,3,2,2,2,1,4,34,2
1,1,4,2,70,15,"O",4,9,2,2,1,1,2,97,2
1,1,4,2,69,60,"N",1,9,1,1,1,1,4,220,2
1,1,4,2,70,67,"H",3,8,1,1,4,1,6,100,1
1,1,5,2,70,40,"E",4,1,1,1,1,1,4,300,1
1,1,5,2,70,40,"Q",3,3,1,1,3,2,4,170,1
1,1,5,2,69,56,"S",1,2,1,1,1,2,4,200,1
1,1,5,2,70,1,"L",3,3,2,2,1,2,4,25,2
1,1,5,2,70,12,"O",1,9,2,2,2,1,1,49,2
1,1,5,2,69,18,"J",4,2,1,2,1,1,5,480,2
1,1,5,2,70,45,"L",2,9,2,1,1,2,4,120,2
1,1,5,2,70,15,"O",3,9,2,2,2,1,1,68,2
1,1,5,2,70,16,"C",2,8,2,2,1,1,1,150,2
1,1,5,2,70,32,"H",2,3,1,1,1,2,4,260,1
1,1,5,2,70,53,"H",5,8,2,1,1,1,4,250,1
1,1,6,2,70,32,"S",1,2,1,1,1,2,4,150,1
1,1,6,2,69,40,"S",1,2,1,1,1,2,4,200,1
1,1,6,2,70,48,"S",1,2,2,1,1,1,4,200,1
1,1,6,2,70,10,"Q",4,9,2,2,1,1,4,36,2
1,1,7,1,69,32,"Q",5,2,1,2,1,1,4,90,2
1,1,0,2,69,45,"L",1,9,2,1,1,2,4,120,1
1,1,1,2,69,25,"L",1,9,2,2,1,2,4,50,2
1,1,1,2,69,24,"F",2,9,3,1,1,2,2,94,2
1,1,1,2,69,36,"F",2,7,3,1,1,1,2,200,2
1,1,1,2,68,40,"O",3,7,2,1,2,2,2,130,2
1,1,1,2,68,42,"F",3,7,3,1,1,2,2,180,2
